Clube;Confronto;ID;PS;Motivo;Ano
Ponte Preta;Internacional;1061;-1;Escalação irregular por parte da Ponte Preta;2003
Internacional;Ponte Preta;1061;2;Escalação irregular por parte da Ponte Preta;2003
Ponte Preta;Juventude;1074;-3;Escalação irregular por parte da Ponte Preta;2003
Juventude;Ponte Preta;1074;3;Escalação irregular por parte da Ponte Preta;2003
Paysandu;Ponte Preta;1387;-3;Escalação irregular por parte do Paysandu;2003
Ponte Preta;Paysandu;1387;3;Escalação irregular por parte do Paysandu;2003
Paysandu;Fluminense;1414;-1;Escalação irregular por parte do Paysandu;2003
Fluminense;Paysandu;1414;2;Escalação irregular por parte do Paysandu;2003
Paysandu;Corinthians;1360;-1;Escalação irregular por parte do Paysandu;2003
Corinthians;Paysandu;1360;2;Escalação irregular por parte do Paysandu;2003
Paysandu;São Caetano;1411;-3;Escalação irregular por parte do Paysandu;2003
São Caetano;Paysandu;1411;3;Escalação irregular por parte do Paysandu;2003
São Caetano;São Paulo;2072;-24;Escalação irregular de jogador do São Caetano (Caso Serginho);2004
Brasiliense;Vasco;2163;-1;Venda irregular de ingressos por parte do Brasiliense;2005
Vasco;Brasiliense;2163;2;Venda irregular de ingressos por parte do Brasiliense;2005
Barueri;Flamengo;4172;-3;Escalação irregular de jogadores;2010
Flamengo;Cruzeiro;5650;-4;Escalação irregular de jogadores;2013
Portuguesa;Grêmio;5652;-4;Escalação irregular de jogadores;2013
