Club;Year;Mode;P;V;E;D;GF;GS
Athlético-PR;2003;LG;61;17;10;19;66;72
Athlético-PR;2003;HM;46;14;4;5;44;28
Athlético-PR;2003;AW;15;3;6;14;22;44
Athlético-PR;2003;OP;26;7;5;11;29;33
Athlético-PR;2003;ED;35;10;5;8;37;39
Atlético-MG;2003;LG;72;19;15;12;76;62
Atlético-MG;2003;HM;44;13;5;5;40;27
Atlético-MG;2003;AW;28;6;10;7;36;35
Atlético-MG;2003;OP;38;10;8;5;40;31
Atlético-MG;2003;ED;34;9;7;7;36;31
Bahia;2003;LG;46;12;10;24;59;92
Bahia;2003;HM;39;11;6;6;40;38
Bahia;2003;AW;7;1;4;18;19;54
Bahia;2003;OP;25;6;7;10;27;36
Bahia;2003;ED;21;6;3;14;32;56
Corinthians;2003;LG;57;15;12;19;61;63
Corinthians;2003;HM;37;11;4;8;36;21
Corinthians;2003;AW;20;4;8;11;25;42
Corinthians;2003;OP;33;8;9;6;37;27
Corinthians;2003;ED;24;7;3;13;24;36
Coritiba;2003;LG;73;21;10;15;67;58
Coritiba;2003;HM;47;14;5;4;37;22
Coritiba;2003;AW;26;7;5;11;30;36
Coritiba;2003;OP;39;11;6;6;36;28
Coritiba;2003;ED;34;10;4;9;31;30
Criciúma;2003;LG;60;17;9;20;57;68
Criciúma;2003;HM;45;14;3;6;36;24
Criciúma;2003;AW;15;3;6;14;21;44
Criciúma;2003;OP;37;11;4;8;33;30
Criciúma;2003;ED;23;6;5;12;24;38
Cruzeiro;2003;LG;100;31;7;8;102;47
Cruzeiro;2003;HM;56;17;5;1;61;21
Cruzeiro;2003;AW;44;14;2;7;41;26
Cruzeiro;2003;OP;47;14;5;4;52;29
Cruzeiro;2003;ED;53;17;2;4;50;18
Figueirense;2003;LG;65;17;14;15;62;54
Figueirense;2003;HM;41;11;8;4;41;24
Figueirense;2003;AW;24;6;6;11;21;30
Figueirense;2003;OP;28;7;7;9;25;30
Figueirense;2003;ED;37;10;7;6;37;24
Flamengo;2003;LG;66;18;12;16;66;73
Flamengo;2003;HM;47;14;5;4;38;23
